#########EVAL#########
               Class:  Instances  Precision     Recall   F1 Score
          Sandwiches:        174 0.32203390   0.267606 0.14615385
           Nightlife:        562 0.72448980   0.784530 0.37665782
             Mexican:         54 0.00000000   0.000000 0.00000000
               Pizza:        137 0.11363636   0.121951 0.05882353
             Italian:        131 0.22500000   0.183673 0.10112360
American (Traditiona:        411 0.52336449   0.411765 0.23045267
                Bars:        559 0.73056995   0.779006 0.37700535
           Fast Food:         69 0.20000000   0.052632 0.04166667
             Burgers:        211 0.18750000   0.138462 0.07964602
  Breakfast & Brunch:        143 0.12820513   0.096154 0.05494505
Accuracy: 0.6928
